size,run_idx,ttft_s,e2e_s,prompt_tokens,output_tokens,decode_tps,total_duration_s,prompt_eval_duration_s,eval_duration_s
short,1,0.203259,0.259570,17,3,52.074,0.254517,0.130598,0.057611
short,2,0.109470,0.166584,17,3,51.053,0.162966,0.031225,0.058762
short,3,0.116380,0.173158,17,3,51.328,0.166489,0.034097,0.058448
short,4,0.112066,0.169335,17,3,51.538,0.163139,0.030510,0.058210
short,5,0.114865,0.172462,17,3,51.346,0.165326,0.034296,0.058427
short,6,0.123895,0.181563,17,3,51.182,0.175560,0.030296,0.058614
short,7,0.110371,0.166939,17,3,51.696,0.161801,0.031058,0.058031
short,8,0.113489,0.170740,17,3,51.488,0.164828,0.031033,0.058266
short,9,0.111961,0.169175,17,3,51.046,0.163608,0.030545,0.058770
short,10,0.111608,0.198756,17,4,45.218,0.192962,0.030694,0.088460
short,11,0.113611,0.170934,17,3,51.290,0.164978,0.033173,0.058491
short,12,0.112291,0.169513,17,3,51.447,0.163675,0.031071,0.058313
short,13,0.116645,0.173700,17,3,51.358,0.168222,0.033667,0.058414
short,14,0.111824,0.168868,17,3,51.146,0.162549,0.030174,0.058655
short,15,0.115711,0.172960,17,3,51.023,0.166958,0.033899,0.058797
short,16,0.111280,0.168553,17,3,51.490,0.163397,0.029757,0.058264
short,17,0.111576,0.168763,17,3,51.454,0.162533,0.030791,0.058304
short,18,0.114134,0.171070,17,3,51.424,0.164348,0.031195,0.058339
short,19,0.122981,0.178239,17,3,52.067,0.172838,0.031877,0.057618
short,20,0.112240,0.198517,17,4,45.502,0.192338,0.030212,0.087907
short,21,0.112599,0.169853,17,3,51.413,0.163687,0.030529,0.058351
short,22,0.109914,0.167339,17,3,51.123,0.163819,0.031856,0.058681
short,23,0.112679,0.169509,17,3,51.497,0.164236,0.031533,0.058256
short,24,0.113374,0.170681,17,3,51.389,0.164601,0.031245,0.058379
short,25,0.119117,0.175888,17,3,50.628,0.169903,0.030977,0.059256
short,26,0.113194,0.170446,17,3,51.080,0.164771,0.031324,0.058731
short,27,0.112195,0.169922,17,3,51.008,0.164022,0.030702,0.058814
short,28,0.110523,0.168170,17,3,50.893,0.163955,0.030067,0.058947
short,29,0.111823,0.198144,17,4,45.795,0.192517,0.030534,0.087345
short,30,0.113343,0.170083,17,3,51.437,0.163698,0.031308,0.058324
medium,1,0.288358,3.715094,43,120,35.001,3.710137,0.230003,3.428427
medium,2,0.115416,3.946795,43,134,34.960,3.940105,0.032892,3.832993
medium,3,0.117369,3.736947,43,122,33.712,3.726988,0.033161,3.618877
medium,4,0.119489,3.892176,43,131,34.723,3.884667,0.030925,3.772685
medium,5,0.126288,3.747437,43,127,35.049,3.741059,0.040009,3.623535
medium,6,0.115969,3.909168,43,133,35.051,3.903276,0.032678,3.794421
medium,7,0.113424,3.661679,43,125,35.212,3.654571,0.035551,3.549953
medium,8,0.117583,3.732203,43,127,35.123,3.724215,0.030768,3.615822
medium,9,0.113360,2.776266,43,94,35.287,2.768833,0.030973,2.663874
medium,10,0.120775,3.039260,43,103,35.278,3.030962,0.034459,2.919698
medium,11,0.106701,2.938501,43,100,35.296,2.931645,0.032161,2.833169
medium,12,0.110975,3.454067,43,118,35.280,3.447488,0.031365,3.344703
